,Year,Date,Team1,Team2,Result,GameResult
305,1989,1989-06-10,삼성,태평양,W 1:0,1
306,1989,1989-06-10,태평양,삼성,L 0:1,1
307,1989,1989-06-10,해태,롯데,L 3:4,1
308,1989,1989-06-11,MBC,빙그레,L 6:13,1
309,1989,1989-06-11,롯데,해태,L 4:11,1
310,1989,1989-06-11,빙그레,MBC,W 13:6,1
311,1989,1989-06-11,삼성,태평양,W 4:3,1
312,1989,1989-06-11,태평양,삼성,L 3:4,1
313,1989,1989-06-11,해태,롯데,W 11:4,1
314,1989,1989-06-13,MBC,OB,L 1:2,1
315,1989,1989-06-13,OB,MBC,W 2:1,1
316,1989,1989-06-13,롯데,빙그레,L 2:10,1
317,1989,1989-06-13,빙그레,롯데,W 10:2,1
318,1989,1989-06-13,태평양,해태,L 3:4,1
319,1989,1989-06-13,해태,태평양,W 4:3,1
320,1989,1989-06-15,MBC,OB,L 0:9,1
321,1989,1989-06-15,OB,MBC,W 9:0,1
322,1989,1989-06-15,롯데,빙그레,L 1:9,1
323,1989,1989-06-15,빙그레,롯데,W 9:1,1
324,1989,1989-06-15,태평양,해태,L 0:4,1
325,1989,1989-06-15,해태,태평양,W 4:0,1
326,1989,1989-06-16,MBC,롯데,L 2:3,1
327,1989,1989-06-16,OB,해태,W 1:0,1
328,1989,1989-06-16,롯데,MBC,W 3:2,1
329,1989,1989-06-16,삼성,태평양,L 3:8,1
330,1989,1989-06-16,태평양,삼성,W 8:3,1
331,1989,1989-06-16,해태,OB,L 0:1,1
332,1989,1989-06-17,MBC,롯데,W 11:4,1
333,1989,1989-06-17,OB,해태,L 3:7,1
334,1989,1989-06-17,롯데,MBC,L 4:11,1
335,1989,1989-06-17,삼성,태평양,W 10:9,1
336,1989,1989-06-17,태평양,삼성,L 9:10,1
337,1989,1989-06-17,해태,OB,W 7:3,1
338,1989,1989-06-18,MBC,롯데,W 5:3,1
339,1989,1989-06-18,OB,해태,L 3:8,1
340,1989,1989-06-18,롯데,MBC,L 3:5,1
341,1989,1989-06-18,삼성,태평양,L 3:9,1
342,1989,1989-06-18,태평양,삼성,W 9:3,1
343,1989,1989-06-18,해태,OB,W 8:3,1
344,1989,1989-06-20,MBC,삼성,L 3:7,1
345,1989,1989-06-20,OB,빙그레,W 6:3,1
346,1989,1989-06-20,롯데,태평양,W 1:0,1
347,1989,1989-06-20,빙그레,OB,L 3:6,1
348,1989,1989-06-20,삼성,MBC,W 7:3,1
349,1989,1989-06-20,태평양,롯데,L 0:1,1
350,1989,1989-06-21,MBC,삼성,W 6:1,1
351,1989,1989-06-21,OB,빙그레,W 14:11,1
352,1989,1989-06-21,롯데,태평양,L 0:10,1
353,1989,1989-06-21,빙그레,OB,L 11:14,1
354,1989,1989-06-21,삼성,MBC,L 1:6,1
355,1989,1989-06-21,태평양,롯데,W 10:0,1
356,1989,1989-06-22,MBC,삼성,W 6:3,1
357,1989,1989-06-22,OB,빙그레,L 1:6,1
358,1989,1989-06-22,롯데,태평양,W 2:1,1
359,1989,1989-06-22,빙그레,OB,W 6:1,1
360,1989,1989-06-22,삼성,MBC,L 3:6,1
361,1989,1989-06-22,태평양,롯데,L 1:2,1
362,1989,1989-06-23,OB,태평양,L 3:5,1
363,1989,1989-06-23,롯데,삼성,D 0:0,1
364,1989,1989-06-23,빙그레,해태,L 1:4,1
365,1989,1989-06-23,삼성,롯데,D 0:0,1
366,1989,1989-06-23,태평양,OB,W 5:3,1
367,1989,1989-06-23,해태,빙그레,W 4:1,1
368,1989,1989-06-24,OB,태평양,L 2:5,1
369,1989,1989-06-24,태평양,OB,W 5:2,1
370,1989,1989-06-25,OB,태평양,L 6:8,1
371,1989,1989-06-25,태평양,OB,W 8:6,1
372,1989,1989-06-26,롯데,삼성,L 5:6,1
373,1989,1989-06-26,빙그레,해태,L 1:2,1
374,1989,1989-06-26,삼성,롯데,W 6:5,1
375,1989,1989-06-26,해태,빙그레,W 2:1,1
376,1989,1989-06-27,MBC,빙그레,L 2:3,1
377,1989,1989-06-27,빙그레,MBC,W 3:2,1
378,1989,1989-06-27,태평양,해태,W 12:3,1
379,1989,1989-06-27,해태,태평양,L 3:12,1
380,1989,1989-06-28,MBC,빙그레,D 5:5,1
381,1989,1989-06-28,OB,삼성,L 0:3,1
382,1989,1989-06-28,빙그레,MBC,D 5:5,1
383,1989,1989-06-28,삼성,OB,W 3:0,1
384,1989,1989-06-28,태평양,해태,W 8:2,1
385,1989,1989-06-28,해태,태평양,L 2:8,1
386,1989,1989-06-29,MBC,빙그레,L 0:2,1
387,1989,1989-06-29,OB,삼성,W 12:6,1
388,1989,1989-06-29,빙그레,MBC,W 2:0,1
389,1989,1989-06-29,삼성,OB,L 6:12,1
390,1989,1989-06-29,태평양,해태,L 0:2,1
391,1989,1989-06-29,해태,태평양,W 2:0,1
392,1989,1989-07-04,MBC,OB,L 4:9,1
393,1989,1989-07-04,OB,MBC,W 9:4,1
394,1989,1989-07-04,롯데,빙그레,L 0:5,1
395,1989,1989-07-04,빙그레,롯데,W 5:0,1
396,1989,1989-07-04,삼성,해태,L 1:4,1
397,1989,1989-07-04,해태,삼성,W 4:1,1
398,1989,1989-07-05,MBC,OB,L 2:4,1
399,1989,1989-07-05,OB,MBC,W 4:2,1
400,1989,1989-07-05,롯데,빙그레,W 3:2,1
401,1989,1989-07-05,빙그레,롯데,L 2:3,1
