,Year,Team1,Game_idx,dummy_draw,dummy_lose,dummy_win,cum_win,cum_draw,cum_lose,Wpct
275,1989,롯데,36,0,1,0,12,1,23,0.34285714285714286
276,1989,롯데,37,0,0,1,13,1,23,0.3611111111111111
277,1989,롯데,38,0,1,0,13,1,24,0.35135135135135137
278,1989,롯데,39,0,1,0,13,1,25,0.34210526315789475
279,1989,롯데,40,0,1,0,13,1,26,0.3333333333333333
280,1989,롯데,41,0,1,0,13,1,27,0.325
281,1989,롯데,42,0,0,1,14,1,27,0.34146341463414637
282,1989,롯데,43,0,1,0,14,1,28,0.3333333333333333
283,1989,롯데,44,0,0,1,15,1,28,0.3488372093023256
284,1989,롯데,45,0,1,0,15,1,29,0.3409090909090909
285,1989,롯데,46,0,1,0,15,1,30,0.3333333333333333
286,1989,롯데,47,0,1,0,15,1,31,0.32608695652173914
287,1989,롯데,48,0,0,1,16,1,31,0.3404255319148936
288,1989,롯데,49,0,1,0,16,1,32,0.3333333333333333
289,1989,롯데,50,0,1,0,16,1,33,0.32653061224489793
290,1989,롯데,51,0,0,1,17,1,33,0.34
291,1989,롯데,52,0,1,0,17,1,34,0.3333333333333333
292,1989,롯데,53,0,0,1,18,1,34,0.34615384615384615
293,1989,롯데,54,1,0,0,18,2,34,0.34615384615384615
294,1989,롯데,55,0,1,0,18,2,35,0.33962264150943394
295,1989,롯데,56,0,1,0,18,2,36,0.3333333333333333
296,1989,롯데,57,0,0,1,19,2,36,0.34545454545454546
297,1989,롯데,58,0,1,0,19,2,37,0.3392857142857143
298,1989,롯데,59,0,1,0,19,2,38,0.3333333333333333
299,1989,롯데,60,0,0,1,20,2,38,0.3448275862068966
300,1989,롯데,61,0,0,1,21,2,38,0.3559322033898305
301,1989,롯데,62,0,0,1,22,2,38,0.36666666666666664
302,1989,롯데,63,0,0,1,23,2,38,0.3770491803278688
303,1989,롯데,64,0,1,0,23,2,39,0.3709677419354839
304,1989,롯데,65,0,0,1,24,2,39,0.38095238095238093
305,1989,롯데,66,0,1,0,24,2,40,0.375
306,1989,롯데,67,0,0,1,25,2,40,0.38461538461538464
307,1989,롯데,68,0,0,1,26,2,40,0.3939393939393939
308,1989,롯데,69,0,0,1,27,2,40,0.40298507462686567
309,1989,롯데,70,0,1,0,27,2,41,0.39705882352941174
310,1989,롯데,71,0,1,0,27,2,42,0.391304347826087
311,1989,롯데,72,0,0,1,28,2,42,0.4
312,1989,롯데,73,0,0,1,29,2,42,0.4084507042253521
313,1989,롯데,74,0,0,1,30,2,42,0.4166666666666667
314,1989,롯데,75,0,1,0,30,2,43,0.410958904109589
315,1989,롯데,76,0,0,1,31,2,43,0.4189189189189189
316,1989,롯데,77,0,1,0,31,2,44,0.41333333333333333
317,1989,롯데,78,0,1,0,31,2,45,0.40789473684210525
318,1989,롯데,79,1,0,0,31,3,45,0.40789473684210525
319,1989,롯데,80,0,0,1,32,3,45,0.4155844155844156
320,1989,롯데,81,0,1,0,32,3,46,0.41025641025641024
321,1989,롯데,82,0,1,0,32,3,47,0.4050632911392405
322,1989,롯데,83,0,0,1,33,3,47,0.4125
323,1989,롯데,84,0,0,1,34,3,47,0.41975308641975306
324,1989,롯데,85,0,1,0,34,3,48,0.4146341463414634
325,1989,롯데,86,0,1,0,34,3,49,0.40963855421686746
326,1989,롯데,87,0,0,1,35,3,49,0.4166666666666667
